Trial No.,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,44.602077,69.1716,69.1716,92.64463,92.64463,92.64463,92.64463,92.64463,92.64463,92.64463,92.64463,92.64463,92.64463,92.64463,133.45679,37.70083,37.70083,37.70083,37.70083,37.70083,37.70083,37.70083,37.70083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20.405827,32.675735,44.602077,54.444443,69.1716,92.64463,92.64463,92.64463,92.64463,92.64463,92.64463,92.64463,92.64463,92.64463,92.64463,133.45679,133.45679,133.45679,133.45679,133.45679,133.45679,133.45679,133.45679,133.45679,133.45679,133.45679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,16.574623,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
3,18.163265,44.602077,44.602077,44.602077,69.1716,69.1716,79.44444,92.64463,92.64463,92.64463,92.64463,92.64463,92.64463,133.45679,133.45679,133.45679,133.45679,133.45679,133.45679,133.45679,133.45679,133.45679,133.45679,133.45679,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,19.182735,54.444443,69.1716,92.64463,92.64463,92.64463,92.64463,92.64463,92.64463,92.64463,92.64463,92.64463,92.64463,92.64463,92.64463,92.64463,92.64463,92.64463,92.64463,92.64463,69.1716,69.1716,69.1716,69.1716,69.1716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,54.444443,69.1716,133.45679,133.45679,133.45679,133.45679,133.45679,133.45679,133.45679,133.45679,133.45679,133.45679,133.45679,54.444443,54.444443,54.444443,54.444443,54.444443,69.1716,69.1716,69.1716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,23.717422,44.602077,54.444443,79.44444,92.64463,133.45679,133.45679,133.45679,133.45679,133.45679,133.45679,133.45679,133.45679,133.45679,133.45679,133.45679,69.1716,69.1716,69.1716,69.1716,69.1716,69.1716,69.1716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,23.717422,44.602077,69.1716,92.64463,92.64463,92.64463,110.0,133.45679,133.45679,133.45679,133.45679,133.45679,133.45679,133.45679,133.45679,133.45679,133.45679,133.45679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,32.675735,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
9,20.405827,20.405827,28.903591,28.903591,28.903591,28.903591,28.903591,28.903591,28.903591,28.903591,30.661158,49.0625,54.444443,69.1716,69.1716,69.1716,69.1716,69.1716,69.1716,69.1716,69.1716,69.1716,69.1716,69.1716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
