,f_gr,f_t,f_sm,f_sf
1,0.042893216,0,0.22699392,0.938436317
2,0.0690356,0.22000003,0.34482753,0.994897955
3,0.07650484,0.16000003,0.24444449,0.813002219
4,0.20710677,0.22000003,0.21875,0.734230922
5,1,0.32,0.3076923,0.6633135
6,1,0.48000002,0.36842108,0.670787413
7,1,0.42000002,0.31818187,0.653488234
8,1,0.45999998,0.38461542,0.693395269
9,1,0.42000002,0.31818187,0.682005771
10,1,0.38,0.3191489,0.700303676
11,1,0.36,0.30612242,0.701775555
12,1,0.39999998,0.30434787,0.691358031
13,1,0.39999998,0.30434787,0.741736114
14,1,0.42000002,0.31818187,0.733055542
15,1,0.38,0.3191489,0.662344755
16,1,0.38,0.3191489,0.672342442
17,1,0.45999998,0.38461542,0.693395269
18,1,0.38,0.3191489,0.662344755
19,1,0.45999998,0.38461542,0.693395269
20,1,0.48000002,0.36842108,0.731138565
21,1,0.45999998,0.35000002,0.693395269
22,1,0.45999998,0.38461542,0.745391818
23,1,0.44,0.28735638,0.736786367
24,1,0.45999998,0.38461542,0.693395269
25,1,0.52,0.41176474,0.624349618
26,1,0.36,0.30612242,0.694801693
27,1,0.36,0.30612242,0.694801693
28,1,0.5,0.42857146,0.707011198
29,1,0.5,0.42857146,0.707011198
30,1,0.48000002,0.44444442,0.683002624
31,1,0.48000002,0.44444442,0.683002624
